Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 78
Submitting 78 granules to the pool...
[1/78] [4] HLS.S30.T10TEK.2021099T184911.v2.0: wrote 8 files
[2/78] [5] HLS.S30.T10TEK.2021102T185911.v2.0: wrote 8 files
[3/78] [7] HLS.S30.T10TEK.2021104T184919.v2.0: wrote 8 files
[4/78] [2] HLS.L30.T10TEK.2021096T184501.v2.0: wrote 8 files
[5/78] [0] HLS.S30.T10TEK.2021092T185921.v2.0: wrote 8 files
[6/78] [1] HLS.S30.T10TEK.2021094T184919.v2.0: wrote 8 files
[7/78] [6] HLS.L30.T10TEK.2021103T185109.v2.0: wrote 8 files
[8/78] [3] HLS.S30.T10TEK.2021097T185919.v2.0: wrote 8 files
[9/78] [8] HLS.S30.T10TEK.2021107T185909.v2.0: wrote 8 files
[10/78] [9] HLS.S30.T10TEK.2021109T184911.v2.0: wrote 8 files
[11/78] [12] HLS.S30.T10TEK.2021114T184909.v2.0: wrote 8 files
[12/78] [10] HLS.L30.T10TEK.2021112T184454.v2.0: wrote 8 files
[13/78] [14] HLS.L30.T10TEK.2021119T185101.v2.0: wrote 8 files
[14/78] [13] HLS.S30.T10TEK.2021117T185909.v2.0: wrote 8 files
[15/78] [15] HLS.S30.T10TEK.2021119T184921.v2.0: wrote 8 files
[16/78] [11] HLS.S30.T10TEK.2021112T185911.v2.0: wrote 8 files
[17/78] [16] HLS.S30.T10TEK.2021122T185911.v2.0: wrote 8 files
[18/78] [17] HLS.S30.T10TEK.2021124T184919.v2.0: wrote 8 files
[19/78] [18] HLS.S30.T10TEK.2021127T185919.v2.0: wrote 8 files
[20/78] [20] HLS.S30.T10TEK.2021129T184921.v2.0: wrote 8 files
[21/78] [19] HLS.L30.T10TEK.2021128T184447.v2.0: wrote 8 files
[22/78] [21] HLS.S30.T10TEK.2021132T185921.v2.0: wrote 8 files
[23/78] [22] HLS.S30.T10TEK.2021134T184919.v2.0: wrote 8 files
[24/78] [23] HLS.L30.T10TEK.2021135T185103.v2.0: wrote 8 files
[25/78] [24] HLS.S30.T10TEK.2021137T185919.v2.0: wrote 8 files
[26/78] [25] HLS.S30.T10TEK.2021139T184921.v2.0: wrote 8 files
[27/78] [26] HLS.S30.T10TEK.2021142T185921.v2.0: wrote 8 files
[28/78] [27] HLS.L30.T10TEK.2021144T184457.v2.0: wrote 8 files
[29/78] [28] HLS.S30.T10TEK.2021144T184919.v2.0: wrote 8 files
[30/78] [29] HLS.S30.T10TEK.2021147T185919.v2.0: wrote 8 files
[31/78] [30] HLS.S30.T10TEK.2021149T184921.v2.0: wrote 8 files
[32/78] [31] HLS.L30.T10TEK.2021151T185112.v2.0: wrote 8 files
[33/78] [32] HLS.S30.T10TEK.2021152T185921.v2.0: wrote 8 files
[34/78] [33] HLS.S30.T10TEK.2021154T184919.v2.0: wrote 8 files
[35/78] [34] HLS.S30.T10TEK.2021157T185919.v2.0: wrote 8 files
[36/78] [35] HLS.S30.T10TEK.2021159T184921.v2.0: wrote 8 files
[37/78] [36] HLS.L30.T10TEK.2021160T184505.v2.0: wrote 8 files
[38/78] [39] HLS.L30.T10TEK.2021167T185118.v2.0: wrote 8 files
[39/78] [37] HLS.S30.T10TEK.2021162T185921.v2.0: wrote 8 files
[40/78] [38] HLS.S30.T10TEK.2021164T184919.v2.0: wrote 8 files
[41/78] [40] HLS.S30.T10TEK.2021167T185919.v2.0: wrote 8 files
[42/78] [42] HLS.S30.T10TEK.2021172T185921.v2.0: wrote 8 files
[43/78] [41] HLS.S30.T10TEK.2021169T184921.v2.0: wrote 8 files
[44/78] [43] HLS.S30.T10TEK.2021174T184919.v2.0: wrote 8 files
[45/78] [45] HLS.S30.T10TEK.2021177T185919.v2.0: wrote 8 files
[46/78] [44] HLS.L30.T10TEK.2021176T184509.v2.0: wrote 8 files
[47/78] [46] HLS.S30.T10TEK.2021179T184921.v2.0: wrote 8 files
[48/78] [47] HLS.S30.T10TEK.2021182T185921.v2.0: wrote 8 files
[49/78] [48] HLS.L30.T10TEK.2021183T185121.v2.0: wrote 8 files
[50/78] [50] HLS.S30.T10TEK.2021189T184921.v2.0: wrote 8 files
[51/78] [49] HLS.S30.T10TEK.2021187T185919.v2.0: wrote 8 files
