Using workers=8 (SLURM_CPUS_PER_TASK=18)
Total granules found: 617
Submitting 617 granules to the pool...
[1/617] [6] HLS.L30.T10TCL.2021094T185700.v2.0: wrote 8 files
[2/617] [5] HLS.S30.T10TCL.2021092T185921.v2.0: wrote 8 files
[3/617] [1] HLS.S30.T10TGL.2021091T183919.v2.0: wrote 8 files
[4/617] [0] HLS.S30.T11TKF.2021091T183919.v2.0: wrote 8 files
[5/617] [9] HLS.S30.T10TGM.2021094T184919.v2.0: wrote 8 files
[6/617] [10] HLS.S30.T11TKG.2021094T184919.v2.0: wrote 8 files
[7/617] [7] HLS.L30.T10TDL.2021094T185700.v2.0: wrote 8 files
[8/617] [3] HLS.S30.T10TEL.2021092T185921.v2.0: wrote 8 files
[9/617] [2] HLS.S30.T10TFL.2021092T185921.v2.0: wrote 8 files
[10/617] [4] HLS.S30.T10TDL.2021092T185921.v2.0: wrote 8 files
[11/617] [11] HLS.S30.T10TFM.2021094T184919.v2.0: wrote 8 files
[12/617] [8] HLS.L30.T10TEL.2021094T185700.v2.0: wrote 8 files
[13/617] [17] HLS.S30.T10TCL.2021095T190911.v2.0: wrote 8 files
[14/617] [12] HLS.S30.T11TKF.2021094T184919.v2.0: wrote 8 files
[15/617] [18] HLS.L30.T10TGM.2021096T184413.v2.0: wrote 8 files
[16/617] [13] HLS.S30.T10TGL.2021094T184919.v2.0: wrote 8 files
[17/617] [19] HLS.L30.T11TKG.2021096T184413.v2.0: wrote 8 files
[18/617] [21] HLS.L30.T10TFM.2021096T184437.v2.0: wrote 8 files
[19/617] [16] HLS.S30.T10TDL.2021095T190911.v2.0: wrote 8 files
[20/617] [15] HLS.S30.T10TEL.2021094T184919.v2.0: wrote 8 files
[21/617] [22] HLS.L30.T11TKF.2021096T184437.v2.0: wrote 8 files
[22/617] [14] HLS.S30.T10TFL.2021094T184919.v2.0: wrote 8 files
[23/617] [24] HLS.L30.T10TGL.2021096T184437.v2.0: wrote 8 files
[24/617] [20] HLS.L30.T10TFL.2021096T184437.v2.0: wrote 8 files
[25/617] [25] HLS.S30.T11TKF.2021096T183911.v2.0: wrote 8 files
[26/617] [23] HLS.L30.T10TEL.2021096T184437.v2.0: wrote 8 files
[27/617] [26] HLS.S30.T10TGL.2021096T183911.v2.0: wrote 8 files
[28/617] [30] HLS.S30.T10TGM.2021099T184911.v2.0: wrote 8 files
[29/617] [31] HLS.S30.T11TKG.2021099T184911.v2.0: wrote 8 files
[30/617] [32] HLS.S30.T10TFM.2021099T184911.v2.0: wrote 8 files
[31/617] [27] HLS.S30.T10TFL.2021097T185919.v2.0: wrote 8 files
[32/617] [28] HLS.S30.T10TEL.2021097T185919.v2.0: wrote 8 files
[33/617] [29] HLS.S30.T10TDL.2021097T185919.v2.0: wrote 8 files
[34/617] [33] HLS.S30.T11TKF.2021099T184911.v2.0: wrote 8 files
[35/617] [34] HLS.S30.T10TGL.2021099T184911.v2.0: wrote 8 files
[36/617] [38] HLS.S30.T10TCL.2021100T190909.v2.0: wrote 8 files
[37/617] [39] HLS.S30.T11TKF.2021101T183919.v2.0: wrote 8 files
[38/617] [40] HLS.S30.T10TGL.2021101T183919.v2.0: wrote 8 files
[39/617] [35] HLS.S30.T10TFL.2021099T184911.v2.0: wrote 8 files
[40/617] [36] HLS.S30.T10TEL.2021099T184911.v2.0: wrote 8 files
[41/617] [37] HLS.S30.T10TDL.2021100T190909.v2.0: wrote 8 files
[42/617] [44] HLS.S30.T10TCL.2021102T185911.v2.0: wrote 8 files
[43/617] [41] HLS.S30.T10TFL.2021102T185911.v2.0: wrote 8 files
[44/617] [48] HLS.S30.T10TGM.2021104T184919.v2.0: wrote 8 files
[45/617] [42] HLS.S30.T10TEL.2021102T185911.v2.0: wrote 8 files
[46/617] [49] HLS.S30.T11TKG.2021104T184919.v2.0: wrote 8 files
[47/617] [43] HLS.S30.T10TDL.2021102T185911.v2.0: wrote 8 files
[48/617] [50] HLS.S30.T10TFM.2021104T184919.v2.0: wrote 8 files
[49/617] [45] HLS.L30.T10TDL.2021103T185045.v2.0: wrote 8 files
[50/617] [47] HLS.L30.T10TFL.2021103T185045.v2.0: wrote 8 files
[51/617] [46] HLS.L30.T10TEL.2021103T185045.v2.0: wrote 8 files
[52/617] [51] HLS.S30.T11TKF.2021104T184919.v2.0: wrote 8 files
[53/617] [52] HLS.S30.T10TGL.2021104T184919.v2.0: wrote 8 files
[54/617] [55] HLS.L30.T11TKG.2021105T183823.v2.0: wrote 8 files
[55/617] [57] HLS.L30.T10TGM.2021105T183823.v2.0: wrote 8 files
[56/617] [61] HLS.S30.T10TCL.2021105T190911.v2.0: wrote 8 files
[57/617] [56] HLS.L30.T11TKF.2021105T183823.v2.0: wrote 8 files
[58/617] [54] HLS.S30.T10TEL.2021104T184919.v2.0: wrote 8 files
[59/617] [53] HLS.S30.T10TFL.2021104T184919.v2.0: wrote 8 files
[60/617] [59] HLS.L30.T10TGL.2021105T183823.v2.0: wrote 8 files
[61/617] [62] HLS.S30.T11TKF.2021106T183911.v2.0: wrote 8 files
[62/617] [58] HLS.L30.T10TFL.2021105T183823.v2.0: wrote 8 files
[63/617] [60] HLS.S30.T10TDL.2021105T190911.v2.0: wrote 8 files
[64/617] [67] HLS.S30.T10TCL.2021107T185909.v2.0: wrote 8 files
[65/617] [63] HLS.S30.T10TGL.2021106T183911.v2.0: wrote 8 files
[66/617] [68] HLS.S30.T10TGM.2021109T184911.v2.0: wrote 8 files
[67/617] [69] HLS.S30.T11TKG.2021109T184911.v2.0: wrote 8 files
[68/617] [70] HLS.S30.T10TFM.2021109T184911.v2.0: wrote 8 files
[69/617] [64] HLS.S30.T10TFL.2021107T185909.v2.0: wrote 8 files
[70/617] [65] HLS.S30.T10TEL.2021107T185909.v2.0: wrote 8 files
[71/617] [71] HLS.S30.T11TKF.2021109T184911.v2.0: wrote 8 files
[72/617] [66] HLS.S30.T10TDL.2021107T185909.v2.0: wrote 8 files
[73/617] [72] HLS.S30.T10TGL.2021109T184911.v2.0: wrote 8 files
[74/617] [76] HLS.L30.T10TCL.2021110T185653.v2.0: wrote 8 files
[75/617] [79] HLS.S30.T10TCL.2021110T190909.v2.0: wrote 8 files
[76/617] [73] HLS.S30.T10TFL.2021109T184911.v2.0: wrote 8 files
[77/617] [74] HLS.S30.T10TEL.2021109T184911.v2.0: wrote 8 files
[78/617] [80] HLS.S30.T11TKF.2021111T183909.v2.0: wrote 8 files
[79/617] [82] HLS.L30.T10TGM.2021112T184406.v2.0: wrote 8 files
[80/617] [75] HLS.L30.T10TEL.2021110T185653.v2.0: wrote 8 files
[81/617] [81] HLS.S30.T10TGL.2021111T183909.v2.0: wrote 8 files
[82/617] [83] HLS.L30.T11TKG.2021112T184406.v2.0: wrote 8 files
[83/617] [78] HLS.S30.T10TDL.2021110T190909.v2.0: wrote 8 files
[84/617] [77] HLS.L30.T10TDL.2021110T185653.v2.0: wrote 8 files
[85/617] [84] HLS.L30.T10TFM.2021112T184430.v2.0: wrote 8 files
[86/617] [87] HLS.L30.T11TKF.2021112T184430.v2.0: wrote 8 files
[87/617] [92] HLS.S30.T10TCL.2021112T185911.v2.0: wrote 8 files
[88/617] [88] HLS.L30.T10TGL.2021112T184430.v2.0: wrote 8 files
[89/617] [85] HLS.L30.T10TEL.2021112T184430.v2.0: wrote 8 files
[90/617] [93] HLS.S30.T10TGM.2021114T184909.v2.0: wrote 8 files
[91/617] [86] HLS.L30.T10TFL.2021112T184430.v2.0: wrote 8 files
[92/617] [94] HLS.S30.T11TKG.2021114T184909.v2.0: wrote 8 files
[93/617] [89] HLS.S30.T10TFL.2021112T185911.v2.0: wrote 8 files
[94/617] [95] HLS.S30.T10TFM.2021114T184909.v2.0: wrote 8 files
[95/617] [90] HLS.S30.T10TEL.2021112T185911.v2.0: wrote 8 files
[96/617] [91] HLS.S30.T10TDL.2021112T185911.v2.0: wrote 8 files
[97/617] [96] HLS.S30.T11TKF.2021114T184909.v2.0: wrote 8 files
[98/617] [97] HLS.S30.T10TGL.2021114T184909.v2.0: wrote 8 files
[99/617] [101] HLS.S30.T10TCL.2021115T190911.v2.0: wrote 8 files
[100/617] [103] HLS.S30.T10TGL.2021116T183921.v2.0: wrote 8 files
[101/617] [102] HLS.S30.T11TKF.2021116T183921.v2.0: wrote 8 files
[102/617] [98] HLS.S30.T10TFL.2021114T184909.v2.0: wrote 8 files
[103/617] [99] HLS.S30.T10TEL.2021114T184909.v2.0: wrote 8 files
[104/617] [107] HLS.S30.T10TCL.2021117T185909.v2.0: wrote 8 files
[105/617] [100] HLS.S30.T10TDL.2021115T190911.v2.0: wrote 8 files
[106/617] [111] HLS.S30.T10TGM.2021119T184921.v2.0: wrote 8 files
[107/617] [104] HLS.S30.T10TFL.2021117T185909.v2.0: wrote 8 files
[108/617] [112] HLS.S30.T11TKG.2021119T184921.v2.0: wrote 8 files
[109/617] [105] HLS.S30.T10TEL.2021117T185909.v2.0: wrote 8 files
[110/617] [106] HLS.S30.T10TDL.2021117T185909.v2.0: wrote 8 files
[111/617] [108] HLS.L30.T10TDL.2021119T185037.v2.0: wrote 8 files
[112/617] [109] HLS.L30.T10TFL.2021119T185037.v2.0: wrote 8 files
[113/617] [113] HLS.S30.T10TFM.2021119T184921.v2.0: wrote 8 files
[114/617] [110] HLS.L30.T10TEL.2021119T185037.v2.0: wrote 8 files
[115/617] [115] HLS.S30.T10TGL.2021119T184921.v2.0: wrote 8 files
[116/617] [114] HLS.S30.T11TKF.2021119T184921.v2.0: wrote 8 files
[117/617] [119] HLS.S30.T10TCL.2021120T190909.v2.0: wrote 8 files
[118/617] [122] HLS.L30.T11TKG.2021121T183814.v2.0: wrote 8 files
[119/617] [120] HLS.L30.T11TKF.2021121T183814.v2.0: wrote 8 files
[120/617] [124] HLS.L30.T10TGM.2021121T183814.v2.0: wrote 8 files
[121/617] [116] HLS.S30.T10TFL.2021119T184921.v2.0: wrote 8 files
[122/617] [118] HLS.S30.T10TDL.2021120T190909.v2.0: wrote 8 files
[123/617] [123] HLS.L30.T10TGL.2021121T183814.v2.0: wrote 8 files
[124/617] [117] HLS.S30.T10TEL.2021119T184921.v2.0: wrote 8 files
[125/617] [121] HLS.L30.T10TFL.2021121T183814.v2.0: wrote 8 files
[126/617] [125] HLS.S30.T11TKF.2021121T183919.v2.0: wrote 8 files
[127/617] [130] HLS.S30.T10TCL.2021122T185911.v2.0: wrote 8 files
[128/617] [131] HLS.S30.T10TGM.2021124T184919.v2.0: wrote 8 files
[129/617] [126] HLS.S30.T10TGL.2021121T183919.v2.0: wrote 8 files
[130/617] [132] HLS.S30.T11TKG.2021124T184919.v2.0: wrote 8 files
