tif,row,col,agbd,split
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1787,741,93.55158233642578,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1788,743,186.7239227294922,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1789,744,689.1649169921875,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1790,746,421.7535400390625,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1792,747,267.2934875488281,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1793,749,29.258575439453125,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1794,750,399.10296630859375,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1795,752,549.1626586914062,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1796,753,-9999.0,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1797,755,284.18035888671875,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1799,756,503.9057312011719,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1800,758,102.73900604248047,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1801,759,89.08833312988281,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1802,761,157.9299774169922,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1803,763,169.77334594726562,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1804,764,82.31609344482422,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1805,766,57.26226806640625,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1807,767,84.97142028808594,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1808,769,65.32927703857422,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1809,770,31.889110565185547,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1810,772,72.00951385498047,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1811,773,162.11151123046875,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1812,775,135.1705780029297,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1814,776,155.39788818359375,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1815,778,223.607177734375,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1816,779,195.54598999023438,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1817,781,39.59827423095703,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1818,782,21.49223518371582,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1819,784,32.03407669067383,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1820,785,23.976049423217773,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1822,787,30.978567123413086,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1823,788,30.900068283081055,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1824,790,-9999.0,train
hls_california\HLS.S30.T10TCL.2021100T190909.v2.0_EVI_cropped.tif,1825,791,65.2164535522461,train
