gedi_file,shot_number,lat,lon,agbd,hls_granule,row,col,patch_tifs,bands,quadtile
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135220800300281865,39.91978197680372,-122.05631395464256,41.51818084716797,HLS.L30.T10TEK.2021007T185141.v2.0,2690,2688,field_boundary_patch_tifs\patch_135220800300281865_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135220800300281866,39.919465914035534,-122.05578673895245,41.12295150756836,HLS.L30.T10TEK.2021007T185141.v2.0,2691,2690,field_boundary_patch_tifs\patch_135220800300281866_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280867,39.91825932937713,-122.06529963309528,10.378938674926758,HLS.L30.T10TEK.2021007T185141.v2.0,2696,2663,field_boundary_patch_tifs\patch_135221100300280867_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280868,39.917943569651854,-122.0647719014198,10.201750755310059,HLS.L30.T10TEK.2021007T185141.v2.0,2697,2664,field_boundary_patch_tifs\patch_135221100300280868_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280869,39.91762778831359,-122.06424417858973,10.59029769897461,HLS.L30.T10TEK.2021007T185141.v2.0,2698,2666,field_boundary_patch_tifs\patch_135221100300280869_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280870,39.91731196550335,-122.06371646756128,10.378938674926758,HLS.L30.T10TEK.2021007T185141.v2.0,2700,2667,field_boundary_patch_tifs\patch_135221100300280870_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280871,39.91699610571903,-122.06318877402306,10.290162086486816,HLS.L30.T10TEK.2021007T185141.v2.0,2701,2669,field_boundary_patch_tifs\patch_135221100300280871_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280872,39.91668020482896,-122.06266110195786,10.290162086486816,HLS.L30.T10TEK.2021007T185141.v2.0,2702,2670,field_boundary_patch_tifs\patch_135221100300280872_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280873,39.916364270009765,-122.06213345457614,10.201750755310059,HLS.L30.T10TEK.2021007T185141.v2.0,2703,2672,field_boundary_patch_tifs\patch_135221100300280873_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280874,39.916048300533035,-122.06160583590683,10.378938674926758,HLS.L30.T10TEK.2021007T185141.v2.0,2704,2673,field_boundary_patch_tifs\patch_135221100300280874_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280875,39.915732287126744,-122.06107825092433,10.290162086486816,HLS.L30.T10TEK.2021007T185141.v2.0,2705,2675,field_boundary_patch_tifs\patch_135221100300280875_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280876,39.91541625007367,-122.06055070285615,10.129632949829102,HLS.L30.T10TEK.2021007T185141.v2.0,2706,2677,field_boundary_patch_tifs\patch_135221100300280876_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
GEDI04_A_2021122153556_O13522_03_T06907_02_002_02_V002.h5,135221100300280877,39.91510017072667,-122.06002319427758,10.445759773254395,HLS.L30.T10TEK.2021007T185141.v2.0,2708,2678,field_boundary_patch_tifs\patch_135221100300280877_HLS.L30.T10TEK.2021007T185141.v2.0.tif,"B02,B03,B04,B05,B06,B07,B11",
